,timestamp,open,high,low,close,adjusted close,volume,dividend amount,Symbol
0,2024-08-30,47.8,50.24,46.22,49.95,49.95,258488097,0.0,BMY
1,2024-07-31,41.65,51.19,39.35,47.56,47.56,381179934,0.6,BMY
2,2024-06-28,41.16,43.19,39.63,41.53,40.9111,309839042,0.0,BMY
3,2024-05-31,43.97,45.715,39.91,41.09,40.4776,317065548,0.0,BMY
4,2024-04-30,54.17,54.23,43.93,43.94,43.2852,297157481,0.6,BMY
5,2024-03-28,50.94,55.035,50.44,54.23,52.8054,414697528,0.0,BMY
6,2024-02-29,48.85,51.92,47.58,50.75,49.4168,292317722,0.0,BMY
7,2024-01-31,51.45,53.45,48.63,48.87,47.5862,321786851,0.6,BMY
8,2023-12-29,49.4,53.48,48.93,51.31,49.3926,312908512,0.0,BMY
9,2023-11-30,51.86,53.55,48.252,49.38,47.5347,297144140,0.0,BMY
10,2023-10-31,58.01,58.06,49.49,51.53,49.6044,282897405,0.57,BMY
11,2023-09-29,61.83,62.395,57.61,58.04,55.3123,234209651,0.0,BMY
12,2023-08-31,62.32,63.41,59.71,61.65,58.7527,258003379,0.0,BMY
13,2023-07-31,63.94,65.375,60.05,62.19,59.2673,183981919,0.57,BMY
14,2023-06-30,64.46,66.46,62.88,63.95,60.4019,171664615,0.0,BMY
15,2023-05-31,67.28,69.1,63.07,64.44,60.8647,194761316,0.0,BMY
16,2023-04-28,69.03,71.065,66.02,66.77,63.0654,134270584,0.57,BMY
17,2023-03-31,68.7,69.785,65.275,69.31,64.9412,186872352,0.0,BMY
18,2023-02-28,72.94,75.18,68.815,68.96,64.6133,155705191,0.0,BMY
19,2023-01-31,71.76,75.0,70.75,72.65,68.0707,164846175,0.57,BMY
20,2022-12-30,80.48,81.435,70.87,71.95,66.8847,187192603,0.0,BMY
21,2022-11-30,77.0,81.1699,74.5535,80.28,74.6283,199338785,0.0,BMY
22,2022-10-31,71.355,78.66,68.33,77.47,72.0161,185041818,0.54,BMY
23,2022-09-30,67.39,75.99,67.21,71.09,65.5811,227462986,0.0,BMY
24,2022-08-31,73.76,75.86,65.95,67.41,62.1862,200473741,0.0,BMY
25,2022-07-29,76.98,77.095,72.26,73.78,68.0626,192581427,0.0,BMY
26,2022-06-30,75.34,80.59,71.71,77.0,71.0331,277642621,0.54,BMY
27,2022-05-31,75.37,78.615,73.669,75.45,69.1185,332001818,0.0,BMY
28,2022-04-29,73.19,78.17,73.0,75.27,68.9536,300515185,0.0,BMY
29,2022-03-31,68.12,74.07,67.325,73.03,66.9016,351726314,0.54,BMY
30,2022-02-28,65.01,69.32,62.9,68.67,62.4457,304191329,0.0,BMY
31,2022-01-31,62.07,65.85,60.86,64.89,59.0083,261788074,0.54,BMY
32,2021-12-31,53.94,63.17,53.91,62.35,56.2049,304122692,0.0,BMY
33,2021-11-30,58.3,60.2,53.22,53.63,48.3443,272618069,0.0,BMY
34,2021-10-29,59.37,60.025,56.11,58.4,52.6442,253979145,0.0,BMY
35,2021-09-30,67.29,67.29,59.15,59.17,53.3383,220801906,0.49,BMY
36,2021-08-31,68.2,69.75,66.51,66.86,59.7754,152250732,0.0,BMY
37,2021-07-30,66.42,69.27,65.78,67.87,60.6784,181215182,0.49,BMY
38,2021-06-30,66.4,67.94,63.22,66.82,59.303,219846935,0.0,BMY
39,2021-05-28,62.7,67.96,62.6501,65.72,58.3268,190629985,0.0,BMY
40,2021-04-30,63.18,66.93,61.51,62.42,55.398,236873713,0.0,BMY
41,2021-03-31,61.9,64.415,58.625,63.13,56.0281,284392857,0.49,BMY
42,2021-02-26,61.91,64.635,59.37,61.33,54.0114,260131077,0.0,BMY
43,2021-01-29,61.74,67.1599,60.465,61.43,54.0995,236934452,0.0,BMY
44,2020-12-31,63.15,63.74,59.92,62.03,54.6279,213133846,0.49,BMY
45,2020-11-30,59.19,66.23,58.84,62.4,54.523,226022497,0.0,BMY
46,2020-10-30,60.38,62.42,56.754,58.45,51.0717,221908939,0.45,BMY
47,2020-09-30,62.2,62.26,56.9,60.29,52.2861,227368049,0.0,BMY
48,2020-08-31,59.11,64.27,58.53,62.2,53.9425,189644867,0.0,BMY
49,2020-07-31,59.19,60.68,57.16,58.66,50.8725,216654061,0.45,BMY
50,2020-06-30,59.46,62.17,54.07,58.8,50.6088,365297932,0.0,BMY
51,2020-05-29,60.85,65.34,59.11,59.72,51.4006,346624645,0.0,BMY
52,2020-04-30,53.62,63.18,53.52,60.81,52.3388,311118114,0.45,BMY
53,2020-03-31,59.57,61.85,45.76,55.74,47.5872,446442897,0.0,BMY
54,2020-02-28,63.1,67.8,56.37,59.06,50.4216,253859907,0.0,BMY
55,2020-01-31,63.85,68.34,62.51,62.95,53.7426,314437494,0.45,BMY
56,2019-12-31,57.34,64.75,56.68,64.19,54.4147,332054768,0.0,BMY
57,2019-11-29,57.99,59.18,55.3,56.94,48.2687,510130400,0.0,BMY
58,2019-10-31,51.09,58.22,48.55,57.37,48.6333,277474268,0.41,BMY
59,2019-09-30,47.89,51.43,47.26,50.71,42.6347,181610813,0.0,BMY
60,2019-08-30,44.55,49.14,44.41,48.07,40.4151,265004195,0.0,BMY
61,2019-07-31,45.71,46.68,42.48,44.41,37.338,304751297,0.41,BMY
62,2019-06-28,45.26,49.55,44.54,45.35,37.7954,268589656,0.0,BMY
63,2019-05-31,46.32,49.81,44.86,45.37,37.8121,292590044,0.0,BMY
64,2019-04-30,48.05,48.1,44.54,46.43,38.6955,373749128,0.41,BMY
65,2019-03-29,51.67,54.38,46.52,47.71,39.416,422103494,0.0,BMY
66,2019-02-28,49.01,52.8,48.58,51.66,42.6794,362153973,0.0,BMY
67,2019-01-31,51.34,52.84,44.3,49.37,40.7875,451458126,0.41,BMY
68,2018-12-31,53.58,54.25,47.89,51.98,42.557,174420792,0.0,BMY
69,2018-11-30,50.68,54.81,49.86,53.46,43.7687,180080864,0.0,BMY
70,2018-10-31,62.37,63.69,46.94,50.54,41.3781,232863438,0.4,BMY
71,2018-09-28,60.5,62.62,59.52,62.08,50.5021,94327859,0.0,BMY
72,2018-08-31,58.86,61.59,58.64,60.55,49.2575,118941027,0.0,BMY
73,2018-07-31,55.17,60.99,54.48,58.75,47.7932,121255760,0.4,BMY
74,2018-06-29,52.91,55.85,49.97,55.34,44.6996,167496328,0.0,BMY
75,2018-05-31,51.98,53.45,49.96,52.62,42.5026,164795756,0.0,BMY
76,2018-04-30,62.93,63.23,50.56,52.13,42.1068,254501190,0.4,BMY
77,2018-03-29,66.1,68.22,61.73,63.25,50.7628,122475939,0.0,BMY
78,2018-02-28,62.18,70.05,58.44,66.2,53.1304,191083438,0.0,BMY
79,2018-01-31,61.4,64.96,59.42,62.6,50.2412,143007075,0.4,BMY
80,2017-12-29,63.16,63.97,60.59,61.28,48.8652,98414562,0.0,BMY
81,2017-11-30,61.86,63.8,60.15,63.19,50.3883,91921174,0.0,BMY
82,2017-10-31,63.8,66.1,59.79,61.66,49.1682,134847405,0.39,BMY
83,2017-09-29,60.36,63.75,59.39,63.74,50.518,121016734,0.0,BMY
84,2017-08-31,57.15,60.75,55.08,60.48,47.9343,128067794,0.0,BMY
85,2017-07-31,56.27,57.2,52.06,56.9,45.0969,137022519,0.39,BMY
86,2017-06-30,54.0,57.9,51.56,55.72,43.8581,179563910,0.0,BMY
87,2017-05-31,56.34,56.83,53.32,53.95,42.4649,166543984,0.0,BMY
88,2017-04-28,54.53,56.33,52.51,56.05,44.1179,165265933,0.39,BMY
